label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,Oligo,OPC
47,0.4709615119889198,0.5475224808155706,0.5127507065180488,0.520512141983401,0.5038205769879901,0.48031189125235213,0.4808658399757618
48,0.502668244515032,0.5046234845935312,0.4903870816604331,0.5315041155582726,0.5173965586447609,0.52416558703575,0.5129694174087535
49,0.45155467217821094,0.48441479407255084,0.4676891084573463,0.49924056790387894,0.5020232828623766,0.5010859559738878,0.48267034371459444
50,0.5141746128505531,0.5204560060108471,0.4714969669003994,0.5130034576312659,0.5126806184446923,0.47676414059001043,0.48213689893544925
51,0.48514437221715134,0.4630120002417063,0.49096026507261614,0.46356285611281844,0.4789175209067598,0.45128114543852155,0.49743397936667727
52,0.4425193842586065,0.4867681238850915,0.45712568494309574,0.4928042930339827,0.49346953885478984,0.5011896821284346,0.45492088619986154
53,0.4877467504280175,0.4829585364227021,0.4819717744157106,0.5347501274255443,0.5214106562825206,0.5047337964606408,0.4959927988975582
54,0.45978480964543555,0.5181674625707077,0.48531698250796146,0.5318033332608512,0.5337077133748642,0.5129141825282809,0.48205622727528197
55,0.431737604880775,0.50500253057471,0.47355629947563493,0.49401537340652535,0.5027241175721573,0.5004740544752929,0.46408187918869187
56,0.4674026663589917,0.4836828248642262,0.5001295270510714,0.500959673400781,0.5120957196003817,0.49621217526578876,0.5004401881410535
57,0.47744712186916727,0.49187116556097793,0.48970439173131,0.5502917082488974,0.5420352036128621,0.4880217642272986,0.5007169302790571
58,0.44577807418390064,0.4957619782330372,0.4646205166423593,0.520611361648979,0.5188141926999642,0.5224094209114598,0.48032855591269746
59,0.4643981431892091,0.5087159027697457,0.5038801221428371,0.5307274635586561,0.5243541700791967,0.5358827029877045,0.5011549895434889
60,0.4529778283998423,0.4956955616997734,0.48599225925168826,0.48107202437952046,0.47440471563477316,0.5320910959872479,0.4846015755325809
61,0.4693112728333921,0.5058223660551578,0.520029002490268,0.5548012941177867,0.536660172773541,0.4974634979841131,0.49538167388473875
62,0.4873419411880055,0.5453977784622381,0.5246702004163811,0.5115821818103987,0.5022179934618226,0.5240180206089038,0.4886100083841007
63,0.47799190635754424,0.5215833108123634,0.508939926557602,0.5201965803608838,0.5154479057432405,0.5063291776407153,0.48463998898150495
64,0.4602747608420282,0.51951105265798,0.5140283770602828,0.512016801440744,0.5001161527035687,0.559061636051747,0.4595635286310364
65,0.4791816467225608,0.5005284252620562,0.5119740982829124,0.5120637326523958,0.49450541320763947,0.5529429898574494,0.45792221998807836
